term	gene	description	ontology
GO:0000070	NonamEVm004612	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm008645	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm007048	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm005314	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000292	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000337	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm011930	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm003115	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002904	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001837	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm004604	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000395	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm011453	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001060	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000550	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002170	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm003435	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002020	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm003031	mitotic sister chromatid segregation	BP
GO:0000076	NonamEVm000121	DNA replication checkpoint signaling	BP
GO:0000076	NonamEVm004720	DNA replication checkpoint signaling	BP
GO:0000076	NonamEVm000483	DNA replication checkpoint signaling	BP
GO:0000076	NonamEVm007785	DNA replication checkpoint signaling	BP
GO:0000076	NonamEVm002297	DNA replication checkpoint signaling	BP
GO:0000076	NonamEVm000868	DNA replication checkpoint signaling	BP
GO:0000076	NonamEVm000815	DNA replication checkpoint signaling	BP
GO:0000077	NonamEVm004720	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000432	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000367	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000254	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000501	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004842	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004655	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm011918	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001061	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm003193	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000483	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm012579	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004078	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm005992	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002803	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002715	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm005454	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000890	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm008455	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004736	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm006412	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm008259	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm003135	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm010179	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002551	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm008626	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm010914	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm010818	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm003060	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007785	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm003330	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002545	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002637	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000868	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007627	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007549	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm006014	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004173	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002781	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm006406	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm012048	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm008046	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm011035	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004717	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004673	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007566	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001578	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm012307	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm005026	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001669	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000268	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007799	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001682	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000106	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007722	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm011347	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm007041	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004765	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001481	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000750	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm005247	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm003377	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000337	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm003748	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm009425	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000769	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm002028	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004416	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001818	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm008468	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000093	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004757	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm008049	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000717	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm004033	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001248	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001994	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm001141	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000815	DNA damage checkpoint signaling	BP
GO:0000077	NonamEVm000948	DNA damage checkpoint signaling	BP
GO:0000079	NonamEVm007305	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm009866	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm006362	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
